target,hour_index,Time (UTC)
CF_Wind,456323,2022-01-21 11:00:00+00:00
Load_MW,456323,2022-01-21 11:00:00+00:00
CF_Wind,456324,2022-01-21 12:00:00+00:00
Load_MW,456324,2022-01-21 12:00:00+00:00
CF_Wind,456325,2022-01-21 13:00:00+00:00
Load_MW,456325,2022-01-21 13:00:00+00:00
CF_Solar,456326,2022-01-21 14:00:00+00:00
CF_Wind,456326,2022-01-21 14:00:00+00:00
CF_Solar,456327,2022-01-21 15:00:00+00:00
CF_Wind,456327,2022-01-21 15:00:00+00:00
CF_Solar,456328,2022-01-21 16:00:00+00:00
CF_Wind,456328,2022-01-21 16:00:00+00:00
CF_Solar,456329,2022-01-21 17:00:00+00:00
CF_Wind,456329,2022-01-21 17:00:00+00:00
CF_Solar,456330,2022-01-21 18:00:00+00:00
CF_Wind,456330,2022-01-21 18:00:00+00:00
CF_Solar,456331,2022-01-21 19:00:00+00:00
CF_Wind,456331,2022-01-21 19:00:00+00:00
CF_Solar,456332,2022-01-21 20:00:00+00:00
CF_Wind,456332,2022-01-21 20:00:00+00:00
CF_Wind,456333,2022-01-21 21:00:00+00:00
CF_Wind,456334,2022-01-21 22:00:00+00:00
Load_MW,456334,2022-01-21 22:00:00+00:00
CF_Wind,456335,2022-01-21 23:00:00+00:00
CF_Wind,456336,2022-01-22 00:00:00+00:00
CF_Wind,456337,2022-01-22 01:00:00+00:00
n_targets,456337,2022-01-22 01:00:00+00:00
CF_Wind,456338,2022-01-22 02:00:00+00:00
n_targets,456338,2022-01-22 02:00:00+00:00
CF_Solar,456344,2022-01-22 08:00:00+00:00
n_targets,456344,2022-01-22 08:00:00+00:00
CF_Solar,456345,2022-01-22 09:00:00+00:00
n_targets,456345,2022-01-22 09:00:00+00:00
CF_Solar,456346,2022-01-22 10:00:00+00:00
n_targets,456346,2022-01-22 10:00:00+00:00
CF_Solar,456347,2022-01-22 11:00:00+00:00
n_targets,456347,2022-01-22 11:00:00+00:00
CF_Solar,456353,2022-01-22 17:00:00+00:00
n_targets,456353,2022-01-22 17:00:00+00:00
CF_Solar,456354,2022-01-22 18:00:00+00:00
n_targets,456354,2022-01-22 18:00:00+00:00
CF_Solar,456355,2022-01-22 19:00:00+00:00
n_targets,456355,2022-01-22 19:00:00+00:00
CF_Solar,456356,2022-01-22 20:00:00+00:00
n_targets,456356,2022-01-22 20:00:00+00:00
CF_Solar,456378,2022-01-23 18:00:00+00:00
n_targets,456378,2022-01-23 18:00:00+00:00
CF_Wind,456385,2022-01-24 01:00:00+00:00
n_targets,456385,2022-01-24 01:00:00+00:00
CF_Wind,456386,2022-01-24 02:00:00+00:00
n_targets,456386,2022-01-24 02:00:00+00:00
CF_Wind,456387,2022-01-24 03:00:00+00:00
n_targets,456387,2022-01-24 03:00:00+00:00
CF_Wind,456388,2022-01-24 04:00:00+00:00
n_targets,456388,2022-01-24 04:00:00+00:00
CF_Wind,456389,2022-01-24 05:00:00+00:00
n_targets,456389,2022-01-24 05:00:00+00:00
CF_Wind,456390,2022-01-24 06:00:00+00:00
CF_Wind,456391,2022-01-24 07:00:00+00:00
CF_Wind,456392,2022-01-24 08:00:00+00:00
Price,456392,2022-01-24 08:00:00+00:00
CF_Wind,456393,2022-01-24 09:00:00+00:00
Load_MW,456393,2022-01-24 09:00:00+00:00
Price,456393,2022-01-24 09:00:00+00:00
Load_MW,456394,2022-01-24 10:00:00+00:00
Price,456394,2022-01-24 10:00:00+00:00
Load_MW,456395,2022-01-24 11:00:00+00:00
Price,456395,2022-01-24 11:00:00+00:00
Load_MW,456396,2022-01-24 12:00:00+00:00
Price,456396,2022-01-24 12:00:00+00:00
Load_MW,456397,2022-01-24 13:00:00+00:00
Price,456397,2022-01-24 13:00:00+00:00
Load_MW,456398,2022-01-24 14:00:00+00:00
Price,456398,2022-01-24 14:00:00+00:00
CF_Wind,456399,2022-01-24 15:00:00+00:00
Load_MW,456399,2022-01-24 15:00:00+00:00
Price,456399,2022-01-24 15:00:00+00:00
CF_Wind,456400,2022-01-24 16:00:00+00:00
Load_MW,456400,2022-01-24 16:00:00+00:00
Price,456400,2022-01-24 16:00:00+00:00
CF_Wind,456401,2022-01-24 17:00:00+00:00
Price,456401,2022-01-24 17:00:00+00:00
CF_Wind,456402,2022-01-24 18:00:00+00:00
Price,456402,2022-01-24 18:00:00+00:00
CF_Wind,456403,2022-01-24 19:00:00+00:00
Price,456403,2022-01-24 19:00:00+00:00
CF_Wind,456404,2022-01-24 20:00:00+00:00
Price,456404,2022-01-24 20:00:00+00:00
